"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01077","5","23","74","0","2024","A","",190,1842,132014487,24439500,315000,1379,71685,"",0.95,1.14,1.63,1.27,1.82,1.43,1.43,"",11,6.1,161,9.6,28929783,28.1,3730790,18.0,25862,8.9,200,17.0,10371,16.9
"01079","5","23","74","0","2024","A","",50,469,32907590,5680423,60550,1349,70165,"",1.12,1.48,1.87,1.51,1.07,1.27,1.27,"",4,8.7,125,36.3,12724472,63.0,1959021,52.6,23396,63.0,220,19.5,11465,19.5
"01081","3","23","74","0","2024","A","N",1,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01081","5","23","74","0","2024","A","",368,3261,227101546,35599314,175027,1339,69651,"",1.08,0.93,1.13,0.91,0.48,1.22,1.22,"",18,5.1,238,7.9,38088232,20.2,2919678,8.9,5074,3.0,136,11.3,7121,11.4
"01083","5","23","74","0","2024","A","",222,2658,200904712,36963172,532291,1454,75597,"",1.39,1.49,1.67,1.55,2.34,1.12,1.12,"",14,6.7,306,13.0,34471346,20.7,2369636,6.8,-469213,-46.9,93,6.8,4835,6.8
"01085","5","23","74","0","2024","A","",15,114,5905222,1334858,5967,998,51876,"",0.93,0.81,0.59,0.74,0.25,0.73,0.72,"",0,0.0,23,25.3,1181037,25.0,315770,31.0,1321,28.4,4,0.4,198,0.4
"01087","5","23","74","0","2024","A","",11,88,7568049,976088,8327,1662,86410,"",0.46,0.35,0.49,0.49,0.39,1.42,1.42,"N",1,10.0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","23","74","0","2024","A","",922,7790,580506669,85012388,535059,1433,74519,"",0.86,0.65,0.58,0.60,0.50,0.90,0.90,"",51,5.9,377,5.1,65988912,12.8,3081308,3.8,-30691,-5.4,98,7.3,5109,7.4
"01091","5","23","74","0","2024","A","",33,509,34175499,6045533,25300,1292,67197,"",0.75,1.33,1.56,1.33,0.84,1.17,1.17,"",-2,-5.7,22,4.5,4456583,15.0,108184,1.8,-8066,-24.2,117,10.0,6120,10.0
"01093","5","23","74","0","2024","A","",21,127,5570373,1426881,8561,844,43890,"",0.38,0.24,0.20,0.23,0.17,0.85,0.85,"",2,10.5,2,1.6,844457,17.9,100222,7.6,-995,-10.4,117,16.1,6108,16.2
"01095","5","23","74","0","2024","A","",217,1318,79856363,15332897,88722,1165,60581,"",1.08,0.62,0.72,0.56,0.51,1.17,1.17,"",17,8.5,-173,-11.6,-4193506,-5.0,-389942,-2.5,-22651,-20.3,81,7.5,4219,7.5
"01097","3","23","74","0","2024","A","N",1,0,0,0,0,0,0,"N",0.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01097","5","23","74","0","2024","A","",1006,12792,938786641,157208871,1062326,1411,73391,"",1.06,1.39,1.54,1.38,1.02,1.11,1.11,"",46,4.8,1246,10.8,156231240,20.0,16091630,11.4,-371564,-25.9,108,8.3,5616,8.3
"01099","5","23","74","0","2024","A","",22,174,10998649,1923566,11555,1219,63393,"",0.58,0.56,0.61,0.51,0.34,1.11,1.11,"",1,4.8,5,3.0,821206,8.1,138662,7.8,-2510,-17.8,59,5.1,3082,5.1
"01101","5","23","74","0","2024","A","",394,5154,377368723,55332918,336141,1408,73214,"",0.70,0.74,0.82,0.74,0.51,1.11,1.11,"",7,1.8,385,8.1,36929952,10.8,3259646,6.3,11642,3.6,35,2.5,1832,2.6
"01103","5","23","74","0","2024","A","",335,3790,279226577,45634946,235978,1417,73671,"",1.28,1.37,1.57,1.23,0.93,1.15,1.15,"",21,6.7,226,6.3,31198301,12.6,4130916,10.0,-47643,-16.8,79,5.9,4086,5.9
"01105","5","23","74","0","2024","A","",10,46,2365251,418039,1567,996,51794,"",0.70,0.48,0.55,0.44,0.14,1.15,1.15,"",2,25.0,-7,-13.2,10396,0.4,-44797,-9.7,-6076,-79.5,138,16.1,7152,16.0
"01107","5","23","74","0","2024","A","",24,390,26277751,4737164,23176,1295,67336,"",0.77,2.00,2.47,2.24,1.33,1.24,1.24,"",0,0.0,267,217.1,19926509,313.7,3424287,260.8,14906,180.2,301,30.3,15630,30.2
"01109","5","23","74","0","2024","A","",40,385,20213445,3937277,37773,1009,52468,"",0.64,0.48,0.45,0.41,0.48,0.95,0.95,"",1,2.6,35,10.0,1208082,6.4,340423,9.5,6653,21.4,-34,-3.3,-1768,-3.3
"01111","5","23","74","0","2024","A","",36,180,9613289,1954772,16427,1029,53506,"",0.98,0.70,0.81,0.67,0.59,1.16,1.16,"",-1,-2.7,11,6.5,1519383,18.8,33343,1.7,-4567,-21.8,109,11.8,5684,11.9
"01113","5","23","74","0","2024","A","",122,689,42155657,8196432,63170,1177,61199,"",1.30,0.93,1.12,0.92,0.85,1.20,1.20,"",10,8.9,-17,-2.4,1491673,3.7,-434430,-5.0,-22062,-25.9,70,6.3,3622,6.3
"01115","5","23","74","0","2024","A","",252,1697,110014712,18463124,94179,1247,64835,"",1.67,1.47,1.73,1.25,0.72,1.18,1.18,"",15,6.3,64,3.9,11017585,11.1,625040,3.5,-9709,-9.3,81,6.9,4200,6.9
"01117","5","23","74","0","2024","A","",688,5582,418526241,60330884,300720,1442,74973,"",1.22,1.25,1.31,1.00,0.64,1.05,1.05,"",27,4.1,267,5.0,32943037,8.5,3180924,5.6,-36309,-10.8,47,3.4,2423,3.3
"01119","5","23","74","0","2024","A","",15,32,2217414,351122,3279,1347,70024,"",0.66,0.21,0.29,0.23,0.23,1.38,1.38,"",1,7.1,-4,-11.1,-598389,-21.3,1950,0.6,-313,-8.7,-157,-10.4,-8193,-10.5
"01121","5","23","74","0","2024","A","",119,1091,70032180,12375485,77925,1234,64181,"",0.97,0.66,0.67,0.58,0.56,1.03,1.03,"",3,2.6,82,8.1,11003077,18.6,1183724,10.6,-37674,-32.6,109,9.7,5669,9.7
"01123","5","23","74","0","2024","A","",98,619,31398790,6474085,38754,975,50718,"",1.20,0.90,0.91,0.73,0.47,1.00,1.00,"",1,1.0,43,7.5,1559820,5.2,273545,4.4,-21862,-36.1,-21,-2.1,-1093,-2.1
"01125","5","23","74","0","2024","A","",480,4838,317400098,52886238,278698,1262,65611,"",1.14,0.93,0.95,0.89,0.62,1.03,1.03,"",3,0.6,276,6.0,28299926,9.8,2056354,4.0,-32816,-10.5,43,3.5,2234,3.5
"01127","5","23","74","0","2024","A","",101,545,35555746,5925937,40921,1255,65280,"",0.84,0.55,0.69,0.48,0.39,1.25,1.25,"",-6,-5.6,10,1.9,2498686,7.6,194817,3.4,-8546,-17.3,66,5.6,3462,5.6
"01129","5","23","74","0","2024","A","",30,146,11423820,2184577,25170,1510,78514,"",1.21,0.54,0.45,0.69,0.77,0.84,0.84,"",-1,-3.2,-31,-17.5,-2967918,-20.6,-939519,-30.1,-6864,-21.4,-54,-3.5,-2795,-3.4
"01131","5","23","74","0","2024","A","",15,116,6467251,1332817,6228,1070,55632,"",0.59,0.82,0.76,0.89,0.60,0.93,0.93,"",2,15.4,8,7.4,753784,13.2,124481,10.3,-671,-9.7,54,5.3,2811,5.3
"01133","5","23","74","0","2024","A","",37,238,13886236,2442098,17940,1124,58468,"",0.88,0.57,0.60,0.46,0.40,1.05,1.05,"",1,2.8,28,13.3,2285322,19.7,207268,9.3,-6158,-25.6,63,5.9,3313,6.0
"01999","3","23","74","0","2024","A","N",1,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01999","5","23","74","0","2024","A","N",1535,0,0,0,0,0,0,"N",0.96,0,0,0,0,0,0,"N",12,0.8,0,0,0,0,0,0,0,0,0,0,0,0
"02000","3","23","54","0","2024","A","",34,84,3274627,3041644,46822,747,38830,"",3.83,0.36,0.22,2.44,4.66,0.62,0.62,"",-5,-12.8,-7,-7.7,-411345,-11.2,-307842,-9.2,-22494,-32.5,-36,-4.6,-1862,-4.6
"02000","5","23","54","0","2024","A","",2597,18528,1885045322,1113336527,17377260,1957,101740,"",1.33,1.07,1.42,1.38,0.85,1.32,1.32,"",-37,-1.4,1401,8.2,285795138,17.9,143883216,14.8,-2292054,-11.7,161,9.0,8366,9.0
"02013","5","23","74","0","2024","A","N",1,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"02016","5","23","74","0","2024","A","",8,33,3366726,1717340,27556,1942,101002,"",0.65,0.19,0.22,0.12,0.07,1.13,1.13,"",1,14.3,6,22.2,1010857,42.9,187861,12.3,-702,-2.5,243,14.3,12657,14.3
"02020","3","23","74","0","2024","A","",1,1,79298,70465,1170,2287,118947,"",0.32,0.01,0.01,0.13,0.26,1.82,1.82,"",0,0.0,-2,-66.7,-240216,-75.2,-165141,-70.1,-4414,-79.0,444,24.1,23093,24.1
"02020","5","23","74","0","2024","A","",908,8371,873644855,502080212,7868352,2007,104369,"",1.32,1.08,1.41,1.39,0.87,1.30,1.30,"",-12,-1.3,782,10.3,149584800,20.7,74921127,17.5,-729014,-8.5,172,9.4,8964,9.4
"02050","3","23","74","0","2024","A","",8,19,651070,651070,10137,665,34570,"",74.61,4.20,3.00,33.65,64.07,0.72,0.72,"",0,0.0,1,5.6,-20197,-3.0,51418,8.6,-1758,-14.8,-73,-9.9,-3788,-9.9
"02050","5","23","74","0","2024","A","",10,56,2279792,2028346,30750,776,40350,"",0.42,0.17,0.11,0.16,0.10,0.69,0.69,"",-3,-23.1,-1,-1.8,-6161,-0.3,37806,1.9,-2775,-8.3,5,0.6,246,0.6
"02060","5","23","74","0","2024","A","N",6,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,"N",-4,-40.0,0,0,0,0,0,0,0,0,0,0,0,0
"02063","5","23","74","0","2024","A","",21,91,11225652,6376077,99897,2374,123472,"",0.68,0.48,0.74,0.67,0.42,1.54,1.54,"",0,0.0,4,4.6,1982148,21.4,930266,17.1,-25078,-20.1,337,16.5,17529,16.5
"02066","5","23","74","0","2024","A","",10,23,2015350,1520788,24808,1661,86372,"",0.89,0.40,0.57,0.63,0.41,1.42,1.42,"",-1,-9.1,-2,-8.0,-255008,-11.2,-16147,-1.1,-11258,-31.2,-109,-6.2,-5670,-6.2
"02068","5","23","74","0","2024","A","",10,34,3172097,2175214,34227,1812,94221,"",0.87,0.33,0.43,0.37,0.23,1.31,1.31,"",-1,-9.1,-6,-15.0,-548054,-14.7,-703624,-24.4,-27666,-44.7,23,1.3,1217,1.3
"02070","3","23","74","0","2024","A","",2,2,33563,33563,508,287,14917,"",37.18,1.36,0.39,3.96,7.45,0.25,0.25,"",-1,-33.3,-3,-60.0,-105498,-75.9,-105498,-75.9,-2621,-83.8,-222,-43.6,-11571,-43.7
"02070","5","23","74","0","2024","A","N",10,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,"N",-2,-16.7,0,0,0,0,0,0,0,0,0,0,0,0
"02090","5","23","74","0","2024","A","",317,2884,324405562,188186834,2917944,2164,112504,"",1.67,1.48,2.23,2.36,1.45,1.51,1.51,"",-11,-3.4,226,8.5,42614823,15.1,21452703,12.9,-568024,-16.3,125,6.1,6481,6.1
"02100","5","23","74","0","2024","A","",21,148,11620952,7485626,120562,1513,78653,"",1.63,2.72,3.84,3.15,1.98,1.42,1.42,"",3,16.7,16,12.1,2398664,26.0,1800266,31.7,-7749,-6.0,174,13.0,9007,12.9
"02105","5","23","74","0","2024","A","N",12,0,0,0,0,0,0,"N",1.06,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02110","5","23","74","0","2024","A","",136,658,56725862,36122979,569754,1658,86231,"",1.49,0.71,0.83,1.03,0.64,1.17,1.17,"",0,0.0,-31,-4.5,1740072,3.2,230530,0.6,-172327,-23.2,123,8.0,6435,8.1
"02122","3","23","74","0","2024","A","",2,3,87406,87406,1378,593,30849,"",2.39,0.20,0.11,1.26,2.48,0.56,0.56,"",-1,-33.3,0,0.0,-33849,-27.9,-33849,-27.9,-1257,-47.7,-281,-32.2,-14622,-32.2
"02122","5","23","74","0","2024","A","",274,1016,69392520,49626257,782180,1313,68266,"",1.49,0.90,0.92,1.11,0.69,1.02,1.02,"",-3,-1.1,-65,-6.0,-1460527,-2.1,-2063827,-4.0,-278443,-26.3,53,4.2,2737,4.2
"02130","5","23","74","0","2024","A","",65,291,24859367,15807379,239801,1643,85452,"",1.34,0.76,0.97,0.98,0.58,1.27,1.27,"",2,3.2,-7,-2.3,-940306,-3.6,78368,0.5,-32113,-11.8,-24,-1.4,-1221,-1.4
"02150","5","23","74","0","2024","A","",43,185,16389037,10215142,162388,1701,88430,"",1.16,0.64,0.86,0.76,0.48,1.36,1.36,"",-2,-4.4,-5,-2.6,69296,0.4,206650,2.1,-47298,-22.6,51,3.1,2649,3.1
"02158","3","23","74","0","2024","A","",5,22,1156434,950037,14263,1026,53374,"",116.77,15.94,24.59,249.47,439.19,1.57,1.57,"",0,0.0,3,15.8,291634,33.7,241803,34.1,612,4.5,158,18.2,8254,18.3
"02158","5","23","74","0","2024","A","N",3,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","3","23","74","0","2024","A","",3,2,70846,70846,1120,654,34006,"",76.37,3.27,2.59,20.68,37.97,0.76,0.76,"",-1,-25.0,0,0.0,-4746,-6.3,-4746,-6.3,-555,-33.1,-73,-10.0,-3790,-10.0
"02164","5","23","74","0","2024","A","N",6,0,0,0,0,0,0,"N",0.69,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02170","5","23","74","0","2024","A","",528,3509,338871482,200798908,3099145,1857,96570,"",2.40,2.26,3.50,2.74,1.69,1.54,1.54,"",2,0.4,311,9.7,55199318,19.5,29145020,17.0,-255596,-7.6,151,8.9,7865,8.9
"02180","3","23","74","0","2024","A","",4,12,426147,414609,6491,688,35761,"",38.98,4.38,2.36,27.57,52.69,0.54,0.54,"",-1,-20.0,-4,-25.0,-187706,-30.6,-182530,-30.6,-6390,-49.6,-70,-9.2,-3631,-9.2
"02180","5","23","74","0","2024","A","N",15,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,"N",4,36.4,0,0,0,0,0,0,0,0,0,0,0,0
"02185","5","23","74","0","2024","A","",20,490,76416390,45262332,707512,2999,155925,"",1.14,0.79,0.90,0.86,0.54,1.13,1.13,"",2,11.1,184,60.1,30601266,66.8,16272713,56.1,90680,14.7,124,4.3,6406,4.3
"02188","3","23","74","0","2024","A","",7,22,733714,727499,11212,632,32853,"",133.65,10.41,4.42,51.22,94.62,0.42,0.42,"",-2,-22.2,-1,-4.3,-97587,-11.7,-96119,-11.7,-5672,-33.6,-71,-10.1,-3688,-10.1
"02188","5","23","74","0","2024","A","",10,78,9910918,5770845,94222,2451,127472,"",0.87,0.50,0.65,0.63,0.39,1.33,1.33,"",0,0.0,0,0.0,-1532584,-13.4,-563383,-8.9,-53828,-36.4,-355,-12.7,-18460,-12.6
"02195","5","23","74","0","2024","A","",10,48,3542267,2258945,35489,1429,74313,"",0.76,0.74,0.92,1.00,0.60,1.25,1.25,"",-1,-9.1,4,9.1,623926,21.4,281491,14.2,-5504,-13.4,151,11.8,7861,11.8
"02198","5","23","74","0","2024","A","",22,35,1650817,1510778,23626,916,47620,"",1.22,0.32,0.25,0.42,0.26,0.81,0.81,"",-2,-8.3,-13,-27.1,-320474,-16.3,-214402,-12.4,-10362,-30.5,133,17.0,6905,17.0
"02220","5","23","74","0","2024","A","",40,194,20271225,11030108,171600,2010,104536,"",1.24,0.83,1.31,1.18,0.73,1.58,1.58,"",-2,-4.8,16,9.0,1501177,8.0,647277,6.2,-41286,-19.4,-15,-0.7,-766,-0.7
"02230","5","23","74","0","2024","A","N",9,0,0,0,0,0,0,"N",1.02,0,0,0,0,0,0,"N",-1,-10.0,0,0,0,0,0,0,0,0,0,0,0,0
"02240","5","23","74","0","2024","A","",17,95,9609795,5732327,88447,1942,100979,"",0.85,0.57,0.59,0.65,0.40,1.05,1.04,"",1,6.2,10,11.8,2300144,31.5,1216148,26.9,-8566,-8.8,282,17.0,14645,17.0
"02275","5","23","74","0","2024","A","N",11,0,0,0,0,0,0,"N",1.36,0,0,0,0,0,0,"N",-1,-8.3,0,0,0,0,0,0,0,0,0,0,0,0
